quarter,stock,name,score_mean,score_std,n_reports,confidence,weight_change
2017_Q1,603288,海天味业,0.0950389541685581,0.066897790764803,2,0.9372969075914503,0.08907971784291509
2017_Q1,603296,华勤技术,0.0,0.0,0,1.0,0.0
2017_Q1,603369,今世缘,0.0,0.0,0,1.0,0.0
2017_Q1,603392,万泰生物,0.0,0.0,0,1.0,0.0
2017_Q1,603501,豪威集团,0.0,0.0,0,1.0,0.0
2017_Q1,603799,华友钴业,0.0,0.0,0,1.0,0.0
2017_Q1,603806,福斯特,0.0,0.0,0,1.0,0.0
2017_Q1,603833,欧派家居,0.0,0.0,0,1.0,0.0
2017_Q1,603986,兆易创新,0.0,0.0,0,1.0,0.0
2017_Q1,603993,洛阳钼业,0.0,0.0,0,1.0,0.0
2017_Q1,605117,德业股份,0.0,0.0,0,1.0,0.0
2017_Q1,605499,东鹏饮料,0.0,0.0,0,1.0,0.0
2017_Q1,688008,澜起科技,0.0,0.0,0,1.0,0.0
2017_Q1,688009,中国通号,0.0,0.0,0,1.0,0.0
2017_Q1,688012,中微公司,0.0,0.0,0,1.0,0.0
2017_Q1,688036,传音控股,0.0,0.0,0,1.0,0.0
2017_Q1,688041,海光信息,0.0,0.0,0,1.0,0.0
2017_Q1,688047,龙芯中科,0.0,0.0,0,1.0,0.0
2017_Q1,688082,盛美上海,0.0,0.0,0,1.0,0.0
2017_Q1,688111,金山办公,0.0,0.0,0,1.0,0.0
2017_Q1,688126,沪硅产业,0.0,0.0,0,1.0,0.0
2017_Q1,688169,石头科技,0.0,0.0,0,1.0,0.0
2017_Q1,688187,时代电气,0.0,0.0,0,1.0,0.0
2017_Q1,688223,晶科能源,0.0,0.0,0,1.0,0.0
2017_Q1,688256,寒武纪,0.0,0.0,0,1.0,0.0
2017_Q1,688271,联影医疗,0.0,0.0,0,1.0,0.0
2017_Q1,688303,大全能源,0.0,0.0,0,1.0,0.0
2017_Q1,688396,华润微,0.0,0.0,0,1.0,0.0
2017_Q1,688472,阿特斯,0.0,0.0,0,1.0,0.0
2017_Q1,688506,百利天恒,0.0,0.0,0,1.0,0.0
2017_Q1,688599,天合光能,0.0,0.0,0,1.0,0.0
2017_Q1,688981,中芯国际,0.0,0.0,0,1.0,0.0
2017_Q2,1,平安银行,0.0,0.0,0,1.0,0.0
2017_Q2,2,万科A,0.0520310774445533,0.0704091398624722,1,0.9342222172434752,0.04860858853581756
2017_Q2,63,中兴通讯,0.0991479437798261,0.0555750903262734,4,0.947350888785093,0.09392789266103269
2017_Q2,100,TCL科技,0.0,0.0,0,1.0,0.0
2017_Q2,157,中联重科,0.0,0.0,0,1.0,0.0
2017_Q2,166,申万宏源,0.0,0.0,0,1.0,0.0
2017_Q2,301,东方盛虹,0.0,0.0,0,1.0,0.0
2017_Q2,333,美的集团,0.2175573036074638,0.05165443878233,4,0.9508826883837064,0.20687147373177542
2017_Q2,338,潍柴动力,0.0,0.0,0,1.0,0.0
2017_Q2,408,藏格矿业,0.0,0.0,0,1.0,0.0
2017_Q2,425,徐工机械,0.0728589445352554,0.0704091398624722,1,0.9342222172434752,0.06806644470974568
2017_Q2,538,云南白药,0.0755791962146759,0.0704091398624722,1,0.9342222172434752,0.0706077642651542
2017_Q2,568,泸州老窖,0.1342455024520556,0.0460536243128005,3,0.9559739355207003,0.12833520130504542
2017_Q2,596,古井贡酒,0.0,0.0,0,1.0,0.0
2017_Q2,617,中油资本,0.0,0.0,0,1.0,0.0
2017_Q2,625,长安汽车,0.1090326011180877,0.0704091398624722,1,0.9342222172434752,0.10186067836836331
2017_Q2,630,铜陵有色,0.0,0.0,0,1.0,0.0
2017_Q2,651,格力电器,0.0,0.0,0,1.0,0.0
2017_Q2,661,长春高新,0.2600021660327911,0.0704091398624722,1,0.9342222172434752,0.24289980003926026
2017_Q2,708,中信特钢,0.0,0.0,0,1.0,0.0
2017_Q2,725,京东方A,0.0,0.0,0,1.0,0.0
2017_Q2,768,中航西飞,0.0,0.0,0,1.0,0.0
2017_Q2,776,广发证券,0.0510863587260246,0.0704091398624722,1,0.9342222172434752,0.04772601131992226
2017_Q2,786,北新建材,0.0794003307819366,0.0704091398624722,1,0.9342222172434752,0.07417755307296617
2017_Q2,792,盐湖股份,0.0609502270817756,0.0704091398624722,1,0.9342222172434752,0.05694105628582971
2017_Q2,800,一汽解放,0.1929471790790558,0.0704091398624722,1,0.9342222172434752,0.18025554145010936
2017_Q2,807,云铝股份,0.1422371491789817,0.0260208004577619,2,0.9746391101952779,0.13862988851251573
2017_Q2,858,五粮液,0.1987251937389373,0.0795701311217781,2,0.9262946159513538,0.1840780770142673
2017_Q2,876,新希望,0.0,0.0,0,1.0,0.0
2017_Q2,895,双汇发展,0.0,0.0,0,1.0,0.0
2017_Q2,938,紫光股份,0.1126568019390106,0.0704091398624722,1,0.9342222172434752,0.10524648729502152
2017_Q2,963,华东医药,0.0,0.0,0,1.0,0.0
2017_Q2,975,山金国际,0.0,0.0,0,1.0,0.0
2017_Q2,977,浪潮信息,0.1373861879110336,0.0704091398624722,1,0.9342222172434752,0.12834922908887453
2017_Q2,983,山西焦煤,0.0,0.0,0,1.0,0.0
2017_Q2,999,华润三九,0.0,0.0,0,1.0,0.0
2017_Q2,1289,龙源电力,0.0,0.0,0,1.0,0.0
2017_Q2,1391,国货航,0.0,0.0,0,1.0,0.0
2017_Q2,1965,招商公路,0.0,0.0,0,1.0,0.0
2017_Q2,1979,招商蛇口,0.0,0.0,0,1.0,0.0
2017_Q2,2001,新和成,0.0,0.0,0,1.0,0.0
2017_Q2,2027,分众传媒,0.1296093016862869,0.0704091398624722,1,0.9342222172434752,0.12108388919674144
2017_Q2,2028,思源电气,0.0,0.0,0,1.0,0.0
2017_Q2,2049,紫光国微,0.0,0.0,0,1.0,0.0
2017_Q2,2050,三花智控,0.1299747514228026,0.0703684993731891,3,0.9342576884368355,0.12142991081941985
2017_Q2,2074,国轩高科,0.0908668339252471,0.0704091398624722,1,0.9342222172434752,0.08488981506353897
2017_Q2,2129,TCL中环,0.0,0.0,0,1.0,0.0
2017_Q2,2142,宁波银行,0.0,0.0,0,1.0,0.0
2017_Q2,2179,中航光电,0.0,0.0,0,1.0,0.0
2017_Q2,2180,纳思达,0.0,0.0,0,1.0,0.0
2017_Q2,2230,科大讯飞,0.2671054402987162,0.0298918526540965,3,0.9709757363580813,0.25935290157929547
2017_Q2,2236,大华股份,0.0,0.0,0,1.0,0.0
2017_Q2,2241,歌尔股份,0.2496330887079239,0.0452356435242876,2,0.9567220618579714,0.23882948333661883
2017_Q2,2252,上海莱士,0.0,0.0,0,1.0,0.0
2017_Q2,2304,洋河股份,0.0,0.0,0,1.0,0.0
2017_Q2,2311,海大集团,0.0368127562105655,0.0704091398624722,1,0.9342222172434752,0.03439129472987801
2017_Q2,2352,顺丰控股,0.0870900489389896,0.0106415998285989,2,0.9894704514138309,0.08617303003731466
2017_Q2,2371,北方华创,0.0,0.0,0,1.0,0.0
